year,ZALOPHUS.PUPCT,ZALOPHUS.PUPWT,ZALOPHUS.PUPGROWTH,SBRD.ASSP.PROD,SBRD.BRCO.PROD,SBRD.CAAU.PROD,SBRD.COMU.PROD,SBRD.PECO.PROD,SBRD.PIGO.PROD,SBRD.RHAU.PROD,SBRD.WEGO.PROD,rreas.adu.anchovy,rreas.adu.sardine,rreas.all.yoy.rockfish,rreas.krill,rreas.market.squid,rreas.myctophids,rreas.octopus,rreas.yoy.anchovy,rreas.yoy.bocaccio,rreas.yoy.chili,rreas.yoy.hake,rreas.yoy.halfbanded,rreas.yoy.lingcod,rreas.yoy.pacdabs,rreas.yoy.sardine,rreas.yoy.shortbelly,rreas.yoy.speckdabs,rreas.yoy.widow,rreas.yoy.ytail,calcofi.bathylagoides.wesethi,calcofi.bathylagus.pacificus,calcofi.ceratoscopelus.townsendi,calcofi.engraulis.mordax,calcofi.leuroglossus.stilbius,calcofi.lipolagus.ochotensis,calcofi.merluccius.productus,calcofi.protomyctophum.crockeri,calcofi.sardinops.sagax,calcofi.stenobrachius.leucopsarus,calcofi.symbolophorus.californiensis,calcofi.tarletonbeania.crenularis,calcofi.triphoturus.mexicanus,calcofi.vinciguerria1
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.082801735,,0.96727979,52.92278643,103.8562861,1.415472902,37.99234392,1.649125112,4.844517318,100.4284462,1.600237885,4.280586071,1.252816408,1.01056028
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579297724,0.365055749,0.820622003,41.04282232,251.7053871,10.60471324,276.4792186,1.72540139,5.522497585,178.4904996,5.635188385,15.3446893,0.744023989,0.775890803
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.107584994,,0.29818505,12.87906088,71.88938696,4.679316021,10.38055515,1.320946208,,57.59395766,0.545568546,4.590567114,0.20407884,0.019237772
1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.239128648,,,65.84137467,7.576034619,2.461264334,26.20992506,0.785550024,71.88784633,34.64860273,0.382707927,2.076038006,0.204419213,0.067588948
1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.508285338,,0.072040477,135.3054528,22.69135511,3.115916809,10.05123523,1.58990447,6.111982968,43.7898622,0.376405761,1.244916269,0.263060724,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310992112,,,137.7230992,20.91322954,2.8010874,5.916407554,1.036169255,,28.05322617,0.464347929,3.079141674,0.311204933,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77921381,,0.928264251,289.3812378,89.87718821,2.027631533,68.96386468,1.42307979,7.040504903,127.6171787,1.424820373,2.091239011,1.464747888,1.438969898
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.553784718,,0.446498343,273.5307578,8.483003036,1.766606542,252.593699,1.64541689,10.80896271,19.78382311,2.733234761,0.198244488,1.405296223,9.307906394
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800867626,,0.490330709,422.5473893,10.43264826,0.532783282,13.98997429,1.726953649,18.13354192,16.45149976,1.715407496,0.276646201,1.819412613,2.454902606
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.979078173,,0.44784985,206.7762328,74.33163875,0.951665552,20.50047548,1.262939708,1.901845574,24.77030332,0.575437129,0.551079586,1.351512102,0.745053039
