longitude,latitude,Location
-120,44,Legend
-117.305,32.956,CalCOFI
-117.305,32.956,CalCOFI
-117.394,32.913,CalCOFI
-117.531,32.846,CalCOFI
-117.872,32.679,CalCOFI
-118.213,32.513,CalCOFI
-118.554,32.346,CalCOFI
-118.893,32.179,CalCOFI
-119.233,32.013,CalCOFI
-119.571,31.846,CalCOFI
-120.246,31.513,CalCOFI
-120.919,31.179,CalCOFI
-121.589,30.846,CalCOFI
-122.257,30.513,CalCOFI
-122.923,30.179,CalCOFI
-123.586,29.846,CalCOFI
-123.998,30.417,CalCOFI
-123.331,30.751,CalCOFI
-122.662,31.084,CalCOFI
-121.99,31.417,CalCOFI
-121.315,31.751,CalCOFI
-120.638,32.084,CalCOFI
-119.959,32.417,CalCOFI
-119.482,32.651,CalCOFI
-118.935,32.917,CalCOFI
-118.387,33.184,CalCOFI
-118.249,33.251,CalCOFI
-117.905,33.417,CalCOFI
-117.768,33.484,CalCOFI
-118.49,33.889,CalCOFI
-118.628,33.822,CalCOFI
-118.974,33.656,CalCOFI
-119.319,33.489,CalCOFI
-119.663,33.322,CalCOFI
-120.006,33.156,CalCOFI
-120.349,32.989,CalCOFI
-121.033,32.656,CalCOFI
-121.714,32.322,CalCOFI
-122.393,31.989,CalCOFI
-123.069,31.656,CalCOFI
-123.743,31.322,CalCOFI
-124.17,31.911,CalCOFI
-123.492,32.245,CalCOFI
-122.811,32.578,CalCOFI
-122.128,32.911,CalCOFI
-121.442,33.245,CalCOFI
-120.754,33.578,CalCOFI
-120.409,33.745,CalCOFI
-120.132,33.878,CalCOFI
-119.508,34.178,CalCOFI
-119.411,34.225,CalCOFI
-120.025,34.274,CalCOFI
-120.523,34.45,CalCOFI
-120.802,34.316,CalCOFI
-121.15,34.15,CalCOFI
-121.843,33.816,CalCOFI
-122.533,33.483,CalCOFI
-123.22,33.15,CalCOFI
-123.905,32.816,CalCOFI
-124.322,33.388,CalCOFI
-123.633,33.721,CalCOFI
-122.941,34.054,CalCOFI
-122.246,34.388,CalCOFI
-121.548,34.721,CalCOFI
-121.198,34.888,CalCOFI
-120.917,35.021,CalCOFI
-120.777,35.088,CalCOFI
-120,43,Legend
-122.0333,36.5833,RREAS
-122.175,36.5833,RREAS
-121.9467,36.655,RREAS
-122.05,36.6467,RREAS
-121.8667,36.7667,RREAS
-121.9083,36.7083,RREAS
-121.9767,36.74,RREAS
-122.1083,36.7,RREAS
-121.9833,36.8467,RREAS
-122.2917,36.9833,RREAS
-122.375,36.9833,RREAS
-122.425,36.9833,RREAS
-122.5917,36.9833,RREAS
-122.7583,36.9833,RREAS
-122.5667,37.275,RREAS
-122.65,37.275,RREAS
-122.8167,37.275,RREAS
-122.9833,37.275,RREAS
-123.15,37.275,RREAS
-122.9083,37.7,RREAS
-122.8667,37.7917,RREAS
-123.0417,37.6583,RREAS
-123.2083,37.6583,RREAS
-123.1383,37.7433,RREAS
-123.3167,37.8833,RREAS
-123.5,37.8833,RREAS
-123,38.1667,RREAS
-123.1667,38.1667,RREAS
-123.3667,38.1667,RREAS
-123.4833,38.1667,RREAS
-123.7083,38.1667,RREAS
-122.325,36.5833,RREAS
-122.5167,36.5833,RREAS
-122.8317,37.5967,RREAS
-107,21,Bakun
-113,24,Bakun
-116,27,Bakun
-119,30,Bakun
-122,33,Bakun
-125,36,Bakun
-125,39,Bakun
-125,42,Bakun
-125,45,Bakun
-125,48,Bakun
-131,51,Bakun
-134,54,Bakun
-137,57,Bakun
-146,60,Bakun
-149,60,Bakun
-120,48,Legend
-120.471208,34.448332,Legend
-124.409927,40.437922,Legend
