time,33N,36N,39N,42N,45N,48N
1967-01-01T00:00:00Z,336,312,278,191,188,185
1968-01-01T00:00:00Z,341,287,217,200,195,190
1969-01-01T00:00:00Z,357,251,273,181,143,142
1970-01-01T00:00:00Z,355,241,219,218,213,212
1971-01-01T00:00:00Z,349,349,333,188,188,140
1972-01-01T00:00:00Z,350,275,234,203,202,201
1973-01-01T00:00:00Z,365,273,244,225,179,178
1974-01-01T00:00:00Z,342,348,305,210,195,197
1975-01-01T00:00:00Z,363,322,299,191,192,192
1976-01-01T00:00:00Z,310,331,355,196,197,178
1977-01-01T00:00:00Z,352,341,322,220,220,188
1978-01-01T00:00:00Z,326,275,299,252,139,139
1979-01-01T00:00:00Z,324,332,238,226,160,141
1980-01-01T00:00:00Z,282,267,268,220,160,159
1981-01-01T00:00:00Z,343,271,249,176,86,58
1982-01-01T00:00:00Z,351,356,189,188,160,170
1983-01-01T00:00:00Z,322,231,213,200,161,196
1984-01-01T00:00:00Z,347,310,296,165,130,123
1985-01-01T00:00:00Z,341,320,298,247,159,158
1986-01-01T00:00:00Z,351,272,271,200,139,136
1987-01-01T00:00:00Z,348,331,238,237,196,133
1988-01-01T00:00:00Z,361,355,348,273,113,113
1989-01-01T00:00:00Z,363,365,272,232,193,181
1990-01-01T00:00:00Z,356,364,353,215,203,117
1991-01-01T00:00:00Z,349,321,285,236,207,120
1992-01-01T00:00:00Z,361,294,277,170,147,150
1993-01-01T00:00:00Z,334,288,177,174,162,120
1994-01-01T00:00:00Z,364,363,282,234,177,126
1995-01-01T00:00:00Z,341,271,238,209,166,164
1996-01-01T00:00:00Z,348,290,250,196,134,134
1997-01-01T00:00:00Z,336,291,272,221,107,78
1998-01-01T00:00:00Z,319,318,257,221,192,193
1999-01-01T00:00:00Z,338,350,227,207,206,169
2000-01-01T00:00:00Z,350,303,260,225,152,123
2001-01-01T00:00:00Z,353,288,249,247,175,113
2002-01-01T00:00:00Z,359,303,298,222,198,139
2003-01-01T00:00:00Z,287,308,234,182,154,134
2004-01-01T00:00:00Z,348,304,303,278,179,140
2005-01-01T00:00:00Z,356,298,270,200,130,128
2006-01-01T00:00:00Z,365,365,239,199,196,196
2007-01-01T00:00:00Z,363,364,333,333,155,155
2008-01-01T00:00:00Z,339,332,347,287,180,180
2009-01-01T00:00:00Z,365,357,279,222,202,162
2010-01-01T00:00:00Z,345,280,268,198,104,152
2011-01-01T00:00:00Z,360,362,360,220,142,126
2012-01-01T00:00:00Z,365,330,275,185,162,165
2013-01-01T00:00:00Z,339,365,360,357,162,135
2014-01-01T00:00:00Z,322,333,220,219,134,120
2015-01-01T00:00:00Z,336,326,292,288,176,120
2016-01-01T00:00:00Z,356,338,214,192,161,127
2017-01-01T00:00:00Z,365,314,281,193,167,90
2018-01-01T00:00:00Z,365,357,294,295,188,145
2019-01-01T00:00:00Z,335,269,288,232,143,119
2020-01-01T00:00:00Z,365,358,331,285,116,62
2021-01-01T00:00:00Z,342,345,278,213,179,164
2022-01-01T00:00:00Z,345.55,331,322,293,135,126
