time,lusi
1967-01-01T00:00:00Z,191
1968-01-01T00:00:00Z,200
1969-01-01T00:00:00Z,181
1970-01-01T00:00:00Z,218
1971-01-01T00:00:00Z,188
1972-01-01T00:00:00Z,203
1973-01-01T00:00:00Z,225
1974-01-01T00:00:00Z,210
1975-01-01T00:00:00Z,191
1976-01-01T00:00:00Z,196
1977-01-01T00:00:00Z,220
1978-01-01T00:00:00Z,252
1979-01-01T00:00:00Z,226
1980-01-01T00:00:00Z,220
1981-01-01T00:00:00Z,176
1982-01-01T00:00:00Z,188
1983-01-01T00:00:00Z,200
1984-01-01T00:00:00Z,165
1985-01-01T00:00:00Z,247
1986-01-01T00:00:00Z,200
1987-01-01T00:00:00Z,237
1988-01-01T00:00:00Z,273
1989-01-01T00:00:00Z,232
1990-01-01T00:00:00Z,215
1991-01-01T00:00:00Z,236
1992-01-01T00:00:00Z,170
1993-01-01T00:00:00Z,174
1994-01-01T00:00:00Z,234
1995-01-01T00:00:00Z,209
1996-01-01T00:00:00Z,196
1997-01-01T00:00:00Z,221
1998-01-01T00:00:00Z,221
1999-01-01T00:00:00Z,207
2000-01-01T00:00:00Z,225
2001-01-01T00:00:00Z,247
2002-01-01T00:00:00Z,222
2003-01-01T00:00:00Z,182
2004-01-01T00:00:00Z,278
2005-01-01T00:00:00Z,200
2006-01-01T00:00:00Z,199
2007-01-01T00:00:00Z,333
2008-01-01T00:00:00Z,287
2009-01-01T00:00:00Z,222
2010-01-01T00:00:00Z,198
2011-01-01T00:00:00Z,220
2012-01-01T00:00:00Z,185
2013-01-01T00:00:00Z,357
2014-01-01T00:00:00Z,219
2015-01-01T00:00:00Z,288
2016-01-01T00:00:00Z,192
2017-01-01T00:00:00Z,193
2018-01-01T00:00:00Z,295
2019-01-01T00:00:00Z,232
2020-01-01T00:00:00Z,285
2021-01-01T00:00:00Z,213
2022-01-01T00:00:00Z,293
