time,sti
1967-01-01T00:00:00Z,87
1968-01-01T00:00:00Z,87
1969-01-01T00:00:00Z,117
1970-01-01T00:00:00Z,75
1971-01-01T00:00:00Z,103
1972-01-01T00:00:00Z,103
1973-01-01T00:00:00Z,80
1974-01-01T00:00:00Z,98
1975-01-01T00:00:00Z,81
1976-01-01T00:00:00Z,101
1977-01-01T00:00:00Z,71
1978-01-01T00:00:00Z,96
1979-01-01T00:00:00Z,103
1980-01-01T00:00:00Z,110
1981-01-01T00:00:00Z,174
1982-01-01T00:00:00Z,107
1983-01-01T00:00:00Z,93
1984-01-01T00:00:00Z,146
1985-01-01T00:00:00Z,123
1986-01-01T00:00:00Z,148
1987-01-01T00:00:00Z,124
1988-01-01T00:00:00Z,155
1989-01-01T00:00:00Z,96
1990-01-01T00:00:00Z,159
1991-01-01T00:00:00Z,99
1992-01-01T00:00:00Z,117
1993-01-01T00:00:00Z,161
1994-01-01T00:00:00Z,166
1995-01-01T00:00:00Z,100
1996-01-01T00:00:00Z,142
1997-01-01T00:00:00Z,155
1998-01-01T00:00:00Z,83
1999-01-01T00:00:00Z,109
2000-01-01T00:00:00Z,166
2001-01-01T00:00:00Z,120
2002-01-01T00:00:00Z,106
2003-01-01T00:00:00Z,115
2004-01-01T00:00:00Z,112
2005-01-01T00:00:00Z,143
2006-01-01T00:00:00Z,109
2007-01-01T00:00:00Z,117
2008-01-01T00:00:00Z,88
2009-01-01T00:00:00Z,83
2010-01-01T00:00:00Z,97
2011-01-01T00:00:00Z,133
2012-01-01T00:00:00Z,121
2013-01-01T00:00:00Z,100
2014-01-01T00:00:00Z,139
2015-01-01T00:00:00Z,120
2016-01-01T00:00:00Z,114
2017-01-01T00:00:00Z,170
2018-01-01T00:00:00Z,105
2019-01-01T00:00:00Z,112
2020-01-01T00:00:00Z,168
2021-01-01T00:00:00Z,83
2022-01-01T00:00:00Z,162
2023-01-01T00:00:00Z,121
