Year,Month,Area,Max,x,y
1967,1,3249632.916,1022.638489,22.36986301,28.1260274
1967,2,5715432.338,1027.139282,19.51655629,30.38907285
1967,3,4073056.673,1026.089722,15.92290749,32.65859031
1967,4,5526394.235,1032.068726,17.54637437,31.56323777
1967,5,6104722.046,1025.925293,18.95665635,30.87925697
1967,6,3520460.307,1024.772949,19.76214834,32.82608696
1967,7,5331414.686,1029.738647,16.6701209,32.80138169
1967,8,3792036.383,1022.445679,15.92216981,32.14386792
1967,9,292682.3053,1019.70752,10.3877551,30.28571429
1967,10,1607840.853,1021.868774,24.88108108,30.24324324
1967,11,3978032.838,1025.402222,12.23502304,32.08294931
1967,12,3203237.801,1024.445679,24.82670455,31.52840909
1968,1,916508.5608,1021.417358,29.1981982,30.48648649
1968,2,0,1018.675781,33.75,27
1968,3,3761015.193,1022.791199,19.13283208,26.79448622
1968,4,6304588.147,1030.083252,18.48955224,31.52835821
1968,5,1921412.323,1022.233154,26.99543379,30.66666667
1968,6,5788874.505,1025.055786,17.89396411,30.37357259
1968,7,5139879.585,1023.77063,17.32315978,32.33393178
1968,8,4628841.629,1024.726074,15.43675889,32.91501976
1968,9,2173201.276,1022.379822,20.03515625,34.8359375
1968,10,439146.8873,1020.691589,27.13333333,30.21666667
1968,11,2334578.767,1023.109741,25.17647059,27.72156863
1968,12,572100.9041,1021.04303,30.41428571,26.98571429
1969,1,10748.9179,1016.683655,33.6,27.2
1969,2,2486946.226,1024.128174,10.92250923,28.06273063
1969,3,5293593.539,1024.068848,19.55456172,29.08765653
1969,4,5527428.153,1026.38208,16.90069686,28.1184669
1969,5,2700375.031,1021.737061,20,28.07333333
1969,6,2621887.37,1021.849609,18.77666667,31.79333333
1969,7,5866939.634,1029.608154,16.72698413,31.99047619
1969,8,4729406.959,1027.783081,15.12355212,33.07915058
1969,9,2538857.14,1022.841309,12.18596491,31.59649123
1969,10,63200.37929,1020.121033,26,29.5
1969,11,1395826.526,1021.295776,22.56547619,30.4702381
1969,12,773020.0151,1020.907288,28.43010753,26.13978495
1970,1,162999.8249,1020.921326,32.81481481,26.51851852
1970,2,0,1019.009705,34,27
1970,3,5488205.541,1024.41687,19.16123499,30.18181818
1970,4,7113914.206,1030.644897,17.53773585,30.58490566
1970,5,6503508.758,1027.176758,18.38709677,30.5
1970,6,5835358.671,1024.633545,16.93214863,30.9273021
1970,7,5597033.955,1027.301514,15.7703827,32.07986689
1970,8,4804603.579,1025.108398,15.26857143,32.99809524
1970,9,2527458.807,1022.59906,18.99324324,34.30067568
1970,10,780372.5729,1021.34491,5.131313131,32.94949495
1970,11,3423023.28,1020.719604,17.77979275,27.41450777
1970,12,5537382.604,1027.596436,15.82675815,29.73413379
1971,1,3637510.394,1026.058716,26.11479592,30.19132653
1971,2,4938616.899,1027.087524,23.36750484,28.56286267
1971,3,5023161.87,1024.068359,19.37164751,27.59961686
1971,4,6417044.828,1026.208984,17.72850679,29.04977376
1971,5,6815527.57,1026.47168,18.53802817,30.01549296
1971,6,5752267.312,1023.593811,17.5322314,29.85289256
1971,7,5251869.276,1023.989136,16.92442882,32.2513181
1971,8,2893071.234,1025.229248,11.02752294,32.89908257
1971,9,3690060.296,1024.130127,13.36319613,33.80145278
1971,10,4975633.145,1025.025269,17.87615527,32.48798521
1971,11,5608932.165,1025.855957,19.03918228,29.43270869
1971,12,6131018.305,1028.891846,17.63790447,31.1155624
1972,1,3903389.404,1025.849731,23.67132867,32.29370629
